precinctCode,precinct,election,percentVoting
32,SULLIVANS ISLAND,vhgen12,73.47
100,MCCLELLANVILLE,vhgen12,71.42
102,DEER PARK 1A,vhgen12,58.29
103,DEER PARK 1B,vhgen12,55.97
104,DEER PARK 2A,vhgen12,58.03
105,DEER PARK 2B,vhgen12,52.73
106,DEER PARK 2C,vhgen12,67.81
107,DEER PARK 3,vhgen12,63.78
110,LINCOLNVILLE,vhgen12,65.83
132,LADSON,vhgen12,62.89
173,EDISTO ISLAND,vhgen12,77.49
174,WADMALAW ISLAND 1,vhgen12,73.76
175,WADMALAW ISLAND 2,vhgen12,79.8
180,KIAWAH ISLAND,vhgen12,77.89
181,TOWN OF SEABROOK,vhgen12,80.73
184,FOLLY BEACH 1,vhgen12,61.81
185,FOLLY BEACH 2,vhgen12,67.82
201,CHARLESTON 1,vhgen12,73.14
202,CHARLESTON 2,vhgen12,71.72
203,CHARLESTON 3,vhgen12,70.03
204,CHARLESTON 4,vhgen12,59.14
205,CHARLESTON 5,vhgen12,59.73
206,CHARLESTON 6,vhgen12,52.6
207,CHARLESTON 7,vhgen12,49.91
208,CHARLESTON 8,vhgen12,54.6
209,CHARLESTON 9,vhgen12,51.74
210,CHARLESTON 10,vhgen12,43.55
211,CHARLESTON 11,vhgen12,41.32
212,CHARLESTON 12,vhgen12,60.04
213,CHARLESTON 13,vhgen12,61.06
214,CHARLESTON 14,vhgen12,47.65
215,CHARLESTON 15,vhgen12,55.31
216,CHARLESTON 16,vhgen12,64.15
217,CHARLESTON 17,vhgen12,61.85
218,CHARLESTON 18,vhgen12,65
219,CHARLESTON 19,vhgen12,68.46
220,CHARLESTON 20,vhgen12,71.08
221,CHARLESTON 21,vhgen12,71.86
301,MT PLEASANT 1,vhgen12,73.95
302,MT PLEASANT 2,vhgen12,56.18
303,MT PLEASANT 3,vhgen12,69.75
304,MT PLEASANT 4,vhgen12,64.2
305,MT PLEASANT 5,vhgen12,72.47
306,MT PLEASANT 6,vhgen12,65.52
307,MT PLEASANT 7,vhgen12,68.27
308,MT PLEASANT 8,vhgen12,70.42
309,MT PLEASANT 9,vhgen12,70.51
310,MT PLEASANT 10,vhgen12,74.15
311,MT PLEASANT 11,vhgen12,64.76
312,MT PLEASANT 12,vhgen12,63.87
313,MT PLEASANT 13,vhgen12,59.25
314,MT PLEASANT 14,vhgen12,61.73
315,MT PLEASANT 15,vhgen12,76.4
316,MT PLEASANT 16,vhgen12,79.2
317,MT PLEASANT 17,vhgen12,64.06
318,MT PLEASANT 18,vhgen12,76.03
319,MT PLEASANT 19,vhgen12,59.2
320,MT PLEASANT 20,vhgen12,69.5
321,MT PLEASANT 21,vhgen12,70.43
322,MT PLEASANT 22,vhgen12,64.73
323,MT PLEASANT 23,vhgen12,59.27
324,MT PLEASANT 24,vhgen12,64.91
325,MT PLEASANT 25,vhgen12,73.44
326,MT PLEASANT 26,vhgen12,76.21
327,MT PLEASANT 27,vhgen12,74.77
328,MT PLEASANT 28,vhgen12,73.42
329,MT PLEASANT 29,vhgen12,77.78
330,MT PLEASANT 30,vhgen12,75.95
331,MT PLEASANT 31,vhgen12,69.16
332,MT PLEASANT 32,vhgen12,68.84
333,MT PLEASANT 33,vhgen12,71.71
334,MT PLEASANT 34,vhgen12,68.61
335,MT PLEASANT 35,vhgen12,66.69
336,MT PLEASANT 36,vhgen12,68.31
337,MT PLEASANT 37,vhgen12,71.02
338,MT PLEASANT 38,vhgen12,70.93
339,MT PLEASANT 39,vhgen12,73.41
400,JAMES ISLAND 1A,vhgen12,68.17
401,JAMES ISLAND 1B,vhgen12,70.87
402,JAMES ISLAND 3,vhgen12,73.14
403,JAMES ISLAND 5A,vhgen12,70.27
404,JAMES ISLAND 5B,vhgen12,70.4
405,JAMES ISLAND 6,vhgen12,68.65
406,JAMES ISLAND 7,vhgen12,62.28
407,JAMES ISLAND 8A,vhgen12,66.74
408,JAMES ISLAND 8B,vhgen12,53.84
409,JAMES ISLAND 9,vhgen12,62.66
410,JAMES ISLAND 10,vhgen12,59.72
411,JAMES ISLAND 11,vhgen12,64.71
412,JAMES ISLAND 12,vhgen12,72.38
413,JAMES ISLAND 13,vhgen12,71.87
414,JAMES ISLAND 14,vhgen12,69.56
415,JAMES ISLAND 15,vhgen12,59.43
417,JAMES ISLAND 17,vhgen12,54.17
419,JAMES ISLAND 19,vhgen12,60.7
420,JAMES ISLAND 20,vhgen12,61.39
422,JAMES ISLAND 22,vhgen12,66.12
440,JOHNS ISLAND 1A,vhgen12,66.07
441,JOHNS ISLAND 1B,vhgen12,66.84
442,JOHNS ISLAND 2,vhgen12,60.56
443,JOHNS ISLAND 3A,vhgen12,67.96
444,JOHNS ISLAND 3B,vhgen12,71.47
445,JOHNS ISLAND 4,vhgen12,69.9
460,ST PAULS 1,vhgen12,77.45
461,ST PAULS 2A,vhgen12,63.75
462,ST PAULS 2B,vhgen12,70.9
463,ST PAULS 3,vhgen12,76.37
464,ST PAULS 4,vhgen12,70.69
465,ST PAULS 5,vhgen12,69.04
466,ST PAULS 6,vhgen12,68.14
501,ST ANDREWS 1,vhgen12,69.15
502,ST ANDREWS 2,vhgen12,61.09
503,ST ANDREWS 3,vhgen12,69.6
504,ST ANDREWS 4,vhgen12,78.31
505,ST ANDREWS 5,vhgen12,78.89
506,ST ANDREWS 6,vhgen12,75.72
507,ST ANDREWS 7,vhgen12,69.36
508,ST ANDREWS 8,vhgen12,65.53
509,ST ANDREWS 9,vhgen12,67.84
510,ST ANDREWS 10,vhgen12,71.54
511,ST ANDREWS 11,vhgen12,75.66
512,ST ANDREWS 12,vhgen12,76.02
513,ST ANDREWS 13,vhgen12,68.41
514,ST ANDREWS 14,vhgen12,71.39
515,ST ANDREWS 15,vhgen12,57.59
516,ST ANDREWS 16,vhgen12,67.27
517,ST ANDREWS 17,vhgen12,70.72
518,ST ANDREWS 18,vhgen12,62.83
519,ST ANDREWS 19,vhgen12,74.16
520,ST ANDREWS 20,vhgen12,58.39
521,ST ANDREWS 21,vhgen12,64.26
522,ST ANDREWS 22,vhgen12,63.39
523,ST ANDREWS 23,vhgen12,49.11
524,ST ANDREWS 24,vhgen12,61.56
525,ST ANDREWS 25,vhgen12,53.04
526,ST ANDREWS 26,vhgen12,70.07
527,ST ANDREWS 27,vhgen12,71.16
528,ST ANDREWS 28,vhgen12,70.78
529,ST ANDREWS 29,vhgen12,58.93
530,ST ANDREWS 30,vhgen12,58.39
531,ST ANDREWS 31,vhgen12,68.4
532,ST ANDREWS 32,vhgen12,69.44
533,ST ANDREWS 33,vhgen12,75.67
534,ST ANDREWS 34,vhgen12,68.85
535,ST ANDREWS 35,vhgen12,70.17
536,ST ANDREWS 36,vhgen12,68.96
537,ST ANDREWS 37,vhgen12,68.47
601,N CHARLESTON 1,vhgen12,63.99
602,N CHARLESTON 2,vhgen12,56.99
603,N CHARLESTON 3,vhgen12,70.08
604,N CHARLESTON 4,vhgen12,66.97
605,N CHARLESTON 5,vhgen12,65.51
606,N CHARLESTON 6,vhgen12,64.18
607,N CHARLESTON 7,vhgen12,52.86
608,N CHARLESTON 8,vhgen12,56.36
609,N CHARLESTON 9,vhgen12,59.93
610,N CHARLESTON 10,vhgen12,59.3
611,N CHARLESTON 11,vhgen12,70.81
612,N CHARLESTON 12,vhgen12,74.6
613,N CHARLESTON 13,vhgen12,61.55
614,N CHARLESTON 14,vhgen12,60.34
615,N CHARLESTON 15,vhgen12,60.03
616,N CHARLESTON 16,vhgen12,61.8
617,N CHARLESTON 17,vhgen12,53.5
618,N CHARLESTON 18,vhgen12,61.99
619,N CHARLESTON 19,vhgen12,63.04
620,N CHARLESTON 20,vhgen12,75.49
621,N CHARLESTON 21,vhgen12,60.42
622,N CHARLESTON 22,vhgen12,56.39
623,N CHARLESTON 23,vhgen12,61.85
624,N CHARLESTON 24,vhgen12,55.28
625,N CHARLESTON 25,vhgen12,67.33
626,N CHARLESTON 26,vhgen12,66.59
627,N CHARLESTON 27,vhgen12,56.91
628,N CHARLESTON 28,vhgen12,51.18
629,N CHARLESTON 29,vhgen12,54.83
630,N CHARLESTON 30,vhgen12,66.06
 &nbsp; ,Totals,vhgen12,65.73
